,AgentName,steps,reward
245,RandomAgent,71,99
246,RandomAgent,60,110
247,RandomAgent,69,101
248,RandomAgent,56,114
249,RandomAgent,71,99
250,RandomAgent,47,123
251,RandomAgent,41,129
252,RandomAgent,32,138
253,RandomAgent,58,112
254,RandomAgent,66,104
255,RandomAgent,80,90
256,RandomAgent,55,115
257,RandomAgent,52,118
258,RandomAgent,60,110
259,RandomAgent,52,118
260,RandomAgent,71,99
261,RandomAgent,54,116
262,RandomAgent,81,89
263,RandomAgent,52,118
264,RandomAgent,55,115
265,RandomAgent,50,120
266,RandomAgent,49,121
267,RandomAgent,59,111
268,RandomAgent,69,101
269,RandomAgent,41,129
270,RandomAgent,86,84
271,RandomAgent,96,74
272,RandomAgent,69,101
273,RandomAgent,82,88
274,RandomAgent,66,104
275,RandomAgent,70,100
276,RandomAgent,66,104
277,RandomAgent,56,114
278,RandomAgent,58,112
279,RandomAgent,46,124
280,RandomAgent,53,117
281,RandomAgent,60,110
282,RandomAgent,76,94
283,RandomAgent,69,101
284,RandomAgent,63,107
285,RandomAgent,60,110
286,RandomAgent,96,74
287,RandomAgent,73,97
288,RandomAgent,49,121
289,RandomAgent,52,118
290,RandomAgent,62,108
291,RandomAgent,79,91
292,RandomAgent,45,125
293,RandomAgent,59,111
294,RandomAgent,53,117
295,RandomAgent,38,132
296,RandomAgent,53,117
297,RandomAgent,40,130
298,RandomAgent,67,103
299,RandomAgent,41,129
300,RandomAgent,56,114
301,RandomAgent,68,102
302,RandomAgent,58,112
303,RandomAgent,56,114
304,RandomAgent,67,103
305,RandomAgent,64,106
306,RandomAgent,66,104
307,RandomAgent,53,117
308,RandomAgent,76,94
309,RandomAgent,69,101
310,RandomAgent,73,97
311,RandomAgent,81,89
312,RandomAgent,62,108
313,RandomAgent,31,139
314,RandomAgent,64,106
315,RandomAgent,63,107
316,RandomAgent,60,110
317,RandomAgent,83,87
318,RandomAgent,58,112
319,RandomAgent,59,111
320,RandomAgent,52,118
321,RandomAgent,59,111
322,RandomAgent,60,110
323,RandomAgent,53,117
324,RandomAgent,49,121
325,RandomAgent,47,123
326,RandomAgent,74,96
327,RandomAgent,59,111
328,RandomAgent,47,123
329,RandomAgent,55,115
330,RandomAgent,45,125
331,RandomAgent,52,118
332,RandomAgent,71,99
333,RandomAgent,69,101
334,RandomAgent,69,101
335,RandomAgent,51,119
336,RandomAgent,52,118
337,RandomAgent,55,115
338,RandomAgent,81,89
339,RandomAgent,50,120
340,RandomAgent,50,120
341,RandomAgent,55,115
342,RandomAgent,43,127
343,RandomAgent,78,92
344,RandomAgent,51,119
345,RandomAgent,76,94
346,RandomAgent,61,109
347,RandomAgent,57,113
348,RandomAgent,67,103
349,RandomAgent,72,98
350,RandomAgent,75,95
351,RandomAgent,48,122
352,RandomAgent,51,119
353,RandomAgent,45,125
354,RandomAgent,81,89
355,RandomAgent,74,96
356,RandomAgent,50,120
357,RandomAgent,62,108
358,RandomAgent,63,107
359,RandomAgent,60,110
360,RandomAgent,45,125
361,RandomAgent,55,115
362,RandomAgent,43,127
363,RandomAgent,61,109
364,RandomAgent,52,118
365,RandomAgent,58,112
366,RandomAgent,61,109
367,RandomAgent,42,128
368,RandomAgent,88,82
369,RandomAgent,73,97
370,RandomAgent,65,105
371,RandomAgent,62,108
372,RandomAgent,59,111
373,RandomAgent,69,101
374,RandomAgent,55,115
375,RandomAgent,48,122
376,RandomAgent,57,113
377,RandomAgent,72,98
378,RandomAgent,53,117
379,RandomAgent,57,113
380,RandomAgent,64,106
381,RandomAgent,63,107
382,RandomAgent,77,93
383,RandomAgent,41,129
384,RandomAgent,80,90
385,RandomAgent,62,108
386,RandomAgent,69,101
387,RandomAgent,47,123
388,RandomAgent,92,78
389,RandomAgent,53,117
390,RandomAgent,58,112
391,RandomAgent,51,119
392,RandomAgent,73,97
393,RandomAgent,50,120
394,RandomAgent,52,118
395,RandomAgent,61,109
396,RandomAgent,91,79
397,RandomAgent,57,113
398,RandomAgent,70,100
399,RandomAgent,85,85
400,RandomAgent,60,110
401,RandomAgent,65,105
402,RandomAgent,61,109
403,RandomAgent,60,110
404,RandomAgent,58,112
405,RandomAgent,53,117
406,RandomAgent,53,117
407,RandomAgent,84,86
408,RandomAgent,59,111
409,RandomAgent,64,106
410,RandomAgent,53,117
411,RandomAgent,57,113
412,RandomAgent,61,109
413,RandomAgent,72,98
414,RandomAgent,94,76
415,RandomAgent,55,115
416,RandomAgent,36,134
417,RandomAgent,60,110
418,RandomAgent,42,128
419,RandomAgent,74,96
420,RandomAgent,86,84
421,RandomAgent,63,107
422,RandomAgent,57,113
423,RandomAgent,43,127
424,RandomAgent,61,109
425,RandomAgent,65,105
426,RandomAgent,74,96
427,RandomAgent,56,114
428,RandomAgent,61,109
429,RandomAgent,49,121
430,RandomAgent,41,129
431,RandomAgent,53,117
432,RandomAgent,81,89
433,RandomAgent,71,99
434,RandomAgent,62,108
435,RandomAgent,61,109
436,RandomAgent,34,136
437,RandomAgent,77,93
438,RandomAgent,67,103
439,RandomAgent,74,96
440,RandomAgent,51,119
441,RandomAgent,61,109
442,RandomAgent,67,103
443,RandomAgent,49,121
444,RandomAgent,49,121
445,RandomAgent,66,104
446,RandomAgent,66,104
447,RandomAgent,63,107
448,RandomAgent,95,75
449,RandomAgent,46,124
450,RandomAgent,56,114
451,RandomAgent,68,102
452,RandomAgent,60,110
453,RandomAgent,59,111
454,RandomAgent,37,133
455,RandomAgent,42,128
456,RandomAgent,61,109
457,RandomAgent,54,116
458,RandomAgent,42,128
459,RandomAgent,48,122
460,RandomAgent,79,91
461,RandomAgent,38,132
462,RandomAgent,42,128
463,RandomAgent,92,78
464,RandomAgent,72,98
465,RandomAgent,54,116
466,RandomAgent,51,119
467,RandomAgent,58,112
468,RandomAgent,66,104
469,RandomAgent,32,138
470,RandomAgent,74,96
471,RandomAgent,70,100
472,RandomAgent,81,89
473,RandomAgent,61,109
474,RandomAgent,76,94
475,RandomAgent,45,125
476,RandomAgent,63,107
477,RandomAgent,68,102
478,RandomAgent,53,117
479,RandomAgent,44,126
480,RandomAgent,52,118
481,RandomAgent,48,122
482,RandomAgent,80,90
483,RandomAgent,67,103
484,RandomAgent,41,129
485,RandomAgent,59,111
486,RandomAgent,49,121
487,RandomAgent,74,96
488,RandomAgent,77,93
489,RandomAgent,48,122
490,RandomAgent,62,108
491,RandomAgent,46,124
492,RandomAgent,67,103
493,RandomAgent,46,124
494,RandomAgent,44,126
495,RandomAgent,62,108
496,RandomAgent,65,105
497,RandomAgent,77,93
498,RandomAgent,56,114
499,RandomAgent,30,140
