,AgentName,steps,reward
199,SearchHuntAgent,65,105
200,SearchHuntAgent,65,105
201,SearchHuntAgent,59,111
202,SearchHuntAgent,49,121
203,SearchHuntAgent,62,108
204,SearchHuntAgent,47,123
205,SearchHuntAgent,73,97
206,SearchHuntAgent,63,107
207,SearchHuntAgent,52,118
208,SearchHuntAgent,54,116
209,SearchHuntAgent,79,91
210,SearchHuntAgent,88,82
211,SearchHuntAgent,77,93
212,SearchHuntAgent,67,103
213,SearchHuntAgent,52,118
214,SearchHuntAgent,83,87
215,SearchHuntAgent,86,84
216,SearchHuntAgent,72,98
217,SearchHuntAgent,57,113
218,SearchHuntAgent,71,99
219,SearchHuntAgent,85,85
220,SearchHuntAgent,57,113
221,SearchHuntAgent,69,101
222,SearchHuntAgent,60,110
223,SearchHuntAgent,81,89
224,SearchHuntAgent,68,102
225,SearchHuntAgent,58,112
226,SearchHuntAgent,73,97
227,SearchHuntAgent,56,114
228,SearchHuntAgent,58,112
229,SearchHuntAgent,52,118
230,SearchHuntAgent,59,111
231,SearchHuntAgent,70,100
232,SearchHuntAgent,75,95
233,SearchHuntAgent,64,106
234,SearchHuntAgent,86,84
235,SearchHuntAgent,65,105
236,SearchHuntAgent,58,112
237,SearchHuntAgent,75,95
238,SearchHuntAgent,65,105
239,SearchHuntAgent,56,114
240,SearchHuntAgent,62,108
241,SearchHuntAgent,68,102
242,SearchHuntAgent,65,105
243,SearchHuntAgent,58,112
244,SearchHuntAgent,52,118
245,SearchHuntAgent,57,113
246,SearchHuntAgent,59,111
247,SearchHuntAgent,70,100
248,SearchHuntAgent,67,103
249,SearchHuntAgent,48,122
250,SearchHuntAgent,84,86
251,SearchHuntAgent,92,78
252,SearchHuntAgent,72,98
253,SearchHuntAgent,60,110
254,SearchHuntAgent,69,101
255,SearchHuntAgent,71,99
256,SearchHuntAgent,77,93
257,SearchHuntAgent,73,97
258,SearchHuntAgent,57,113
259,SearchHuntAgent,58,112
260,SearchHuntAgent,79,91
261,SearchHuntAgent,61,109
262,SearchHuntAgent,76,94
263,SearchHuntAgent,62,108
264,SearchHuntAgent,49,121
265,SearchHuntAgent,84,86
266,SearchHuntAgent,62,108
267,SearchHuntAgent,45,125
268,SearchHuntAgent,48,122
269,SearchHuntAgent,81,89
270,SearchHuntAgent,60,110
271,SearchHuntAgent,69,101
272,SearchHuntAgent,70,100
273,SearchHuntAgent,88,82
274,SearchHuntAgent,53,117
275,SearchHuntAgent,68,102
276,SearchHuntAgent,63,107
277,SearchHuntAgent,75,95
278,SearchHuntAgent,57,113
279,SearchHuntAgent,88,82
280,SearchHuntAgent,57,113
281,SearchHuntAgent,71,99
282,SearchHuntAgent,68,102
283,SearchHuntAgent,60,110
284,SearchHuntAgent,74,96
285,SearchHuntAgent,81,89
286,SearchHuntAgent,51,119
287,SearchHuntAgent,54,116
288,SearchHuntAgent,61,109
289,SearchHuntAgent,39,131
290,SearchHuntAgent,75,95
291,SearchHuntAgent,56,114
292,SearchHuntAgent,60,110
293,SearchHuntAgent,67,103
294,SearchHuntAgent,67,103
295,SearchHuntAgent,72,98
296,SearchHuntAgent,62,108
297,SearchHuntAgent,52,118
298,SearchHuntAgent,65,105
299,SearchHuntAgent,82,88
300,SearchHuntAgent,82,88
301,SearchHuntAgent,71,99
302,SearchHuntAgent,64,106
303,SearchHuntAgent,79,91
304,SearchHuntAgent,67,103
305,SearchHuntAgent,57,113
306,SearchHuntAgent,81,89
307,SearchHuntAgent,79,91
308,SearchHuntAgent,63,107
309,SearchHuntAgent,60,110
310,SearchHuntAgent,64,106
311,SearchHuntAgent,63,107
312,SearchHuntAgent,63,107
313,SearchHuntAgent,70,100
314,SearchHuntAgent,75,95
315,SearchHuntAgent,52,118
316,SearchHuntAgent,89,81
317,SearchHuntAgent,62,108
318,SearchHuntAgent,78,92
319,SearchHuntAgent,77,93
320,SearchHuntAgent,85,85
321,SearchHuntAgent,68,102
322,SearchHuntAgent,71,99
323,SearchHuntAgent,51,119
324,SearchHuntAgent,57,113
325,SearchHuntAgent,52,118
326,SearchHuntAgent,64,106
327,SearchHuntAgent,74,96
328,SearchHuntAgent,79,91
329,SearchHuntAgent,75,95
330,SearchHuntAgent,56,114
331,SearchHuntAgent,52,118
332,SearchHuntAgent,51,119
333,SearchHuntAgent,83,87
334,SearchHuntAgent,44,126
335,SearchHuntAgent,52,118
336,SearchHuntAgent,72,98
337,SearchHuntAgent,96,74
338,SearchHuntAgent,54,116
339,SearchHuntAgent,68,102
340,SearchHuntAgent,58,112
341,SearchHuntAgent,81,89
342,SearchHuntAgent,65,105
343,SearchHuntAgent,74,96
344,SearchHuntAgent,73,97
345,SearchHuntAgent,98,72
346,SearchHuntAgent,77,93
347,SearchHuntAgent,61,109
348,SearchHuntAgent,70,100
349,SearchHuntAgent,63,107
350,SearchHuntAgent,83,87
351,SearchHuntAgent,51,119
352,SearchHuntAgent,85,85
353,SearchHuntAgent,73,97
354,SearchHuntAgent,83,87
355,SearchHuntAgent,81,89
356,SearchHuntAgent,70,100
357,SearchHuntAgent,69,101
358,SearchHuntAgent,43,127
359,SearchHuntAgent,47,123
360,SearchHuntAgent,58,112
361,SearchHuntAgent,55,115
