,AgentName,steps,reward
245,CNNAgent,60,110
246,CNNAgent,58,112
247,CNNAgent,57,113
248,CNNAgent,74,96
249,CNNAgent,79,91
250,CNNAgent,58,112
251,CNNAgent,56,114
252,CNNAgent,43,127
253,CNNAgent,69,101
254,CNNAgent,59,111
255,CNNAgent,67,103
256,CNNAgent,68,102
257,CNNAgent,55,115
258,CNNAgent,51,119
259,CNNAgent,75,95
260,CNNAgent,61,109
261,CNNAgent,41,129
262,CNNAgent,54,116
263,CNNAgent,67,103
264,CNNAgent,57,113
265,CNNAgent,61,109
266,CNNAgent,59,111
267,CNNAgent,49,121
268,CNNAgent,70,100
269,CNNAgent,67,103
270,CNNAgent,53,117
271,CNNAgent,96,74
272,CNNAgent,45,125
273,CNNAgent,71,99
274,CNNAgent,55,115
275,CNNAgent,65,105
276,CNNAgent,82,88
277,CNNAgent,63,107
278,CNNAgent,57,113
279,CNNAgent,83,87
280,CNNAgent,59,111
281,CNNAgent,67,103
282,CNNAgent,76,94
283,CNNAgent,61,109
284,CNNAgent,67,103
285,CNNAgent,66,104
286,CNNAgent,67,103
287,CNNAgent,62,108
288,CNNAgent,69,101
289,CNNAgent,70,100
290,CNNAgent,54,116
291,CNNAgent,49,121
292,CNNAgent,52,118
293,CNNAgent,61,109
294,CNNAgent,61,109
295,CNNAgent,70,100
296,CNNAgent,44,126
297,CNNAgent,65,105
298,CNNAgent,94,76
299,CNNAgent,78,92
300,CNNAgent,63,107
301,CNNAgent,63,107
302,CNNAgent,74,96
303,CNNAgent,67,103
304,CNNAgent,69,101
305,CNNAgent,55,115
306,CNNAgent,46,124
307,CNNAgent,54,116
308,CNNAgent,58,112
309,CNNAgent,50,120
310,CNNAgent,50,120
311,CNNAgent,78,92
312,CNNAgent,63,107
313,CNNAgent,75,95
314,CNNAgent,48,122
315,CNNAgent,76,94
316,CNNAgent,53,117
317,CNNAgent,100,70
318,CNNAgent,85,85
319,CNNAgent,51,119
320,CNNAgent,89,81
321,CNNAgent,67,103
322,CNNAgent,50,120
323,CNNAgent,71,99
324,CNNAgent,74,96
325,CNNAgent,70,100
326,CNNAgent,68,102
327,CNNAgent,67,103
328,CNNAgent,46,124
329,CNNAgent,90,80
330,CNNAgent,51,119
331,CNNAgent,36,134
332,CNNAgent,67,103
333,CNNAgent,77,93
334,CNNAgent,80,90
335,CNNAgent,66,104
336,CNNAgent,68,102
337,CNNAgent,65,105
338,CNNAgent,62,108
339,CNNAgent,43,127
340,CNNAgent,63,107
341,CNNAgent,57,113
342,CNNAgent,66,104
343,CNNAgent,54,116
344,CNNAgent,65,105
345,CNNAgent,79,91
346,CNNAgent,56,114
347,CNNAgent,37,133
348,CNNAgent,51,119
349,CNNAgent,61,109
350,CNNAgent,62,108
351,CNNAgent,68,102
352,CNNAgent,45,125
353,CNNAgent,66,104
354,CNNAgent,41,129
355,CNNAgent,49,121
356,CNNAgent,56,114
357,CNNAgent,60,110
358,CNNAgent,38,132
359,CNNAgent,49,121
360,CNNAgent,60,110
361,CNNAgent,53,117
362,CNNAgent,54,116
363,CNNAgent,59,111
364,CNNAgent,60,110
365,CNNAgent,81,89
366,CNNAgent,53,117
367,CNNAgent,75,95
368,CNNAgent,52,118
369,CNNAgent,80,90
370,CNNAgent,86,84
371,CNNAgent,54,116
372,CNNAgent,47,123
373,CNNAgent,65,105
374,CNNAgent,61,109
375,CNNAgent,91,79
376,CNNAgent,59,111
377,CNNAgent,56,114
378,CNNAgent,62,108
379,CNNAgent,47,123
380,CNNAgent,69,101
381,CNNAgent,62,108
382,CNNAgent,58,112
383,CNNAgent,63,107
384,CNNAgent,55,115
385,CNNAgent,38,132
386,CNNAgent,53,117
387,CNNAgent,60,110
388,CNNAgent,41,129
389,CNNAgent,46,124
390,CNNAgent,71,99
391,CNNAgent,69,101
392,CNNAgent,53,117
393,CNNAgent,65,105
394,CNNAgent,68,102
395,CNNAgent,61,109
396,CNNAgent,57,113
397,CNNAgent,53,117
398,CNNAgent,63,107
399,CNNAgent,62,108
400,CNNAgent,61,109
401,CNNAgent,59,111
402,CNNAgent,81,89
403,CNNAgent,69,101
404,CNNAgent,54,116
405,CNNAgent,71,99
406,CNNAgent,41,129
407,CNNAgent,63,107
408,CNNAgent,75,95
409,CNNAgent,57,113
410,CNNAgent,63,107
411,CNNAgent,66,104
412,CNNAgent,69,101
413,CNNAgent,74,96
414,CNNAgent,65,105
415,CNNAgent,66,104
416,CNNAgent,60,110
417,CNNAgent,58,112
418,CNNAgent,69,101
419,CNNAgent,49,121
420,CNNAgent,62,108
421,CNNAgent,57,113
422,CNNAgent,47,123
